"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YjuQAE","NO1","7359992923759030","707057500057611021"
"[Charging_Facility__c]","a239Y0000000YjvQAE","NO1","7359992923759030","707057500057611021"
"[Charging_Facility__c]","a239Y0000000YjwQAE","NO3","6970631409721535","707057500069313388"
"[Charging_Facility__c]","a239Y0000000YjxQAE","NO1","7359992909020130","707057500057756098"
"[Charging_Facility__c]","a239Y0000000YjyQAE","NO1","7359992909020130","707057500057756098"
"[Charging_Facility__c]","a239Y0000000YjzQAE","NO1","7359992909034779","707057500057588385"
"[Charging_Facility__c]","a239Y0000000Yk0QAE","NO1","7359992905018865","707057500023355621"
"[Charging_Facility__c]","a239Y0000000Yk1QAE","NO3","6970631407254035","707057500069198602"
"[Charging_Facility__c]","a239Y0000000Yk2QAE","NO5","6970631400970178","707057500029832904"
"[Charging_Facility__c]","a239Y0000000Yk3QAE","NO3","6970631409028863","707057500069331504"
"[Charging_Facility__c]","a239Y0000000Yk4QAE","NO1","5706567272285006","707057500080542101"
"[Charging_Facility__c]","a239Y0000000Yk5QAE","NO3","6970631409047215","707057500069392611"
"[Charging_Facility__c]","a239Y0000000Yk6QAE","NO3","6970631400371111","707057500069345822"
"[Charging_Facility__c]","a239Y0000000Yk7QAE","NO3","6970631408275763","707057500069345846"
"[Charging_Facility__c]","a239Y0000000Yk8QAE","NO3","6970631408702337","707057500069345853"
"[Charging_Facility__c]","a239Y0000000YkAQAU","NO2","",""
"[Charging_Facility__c]","a239Y0000000YkBQAU","NO3","6970631407696415","707057500069235307"
"[Charging_Facility__c]","a239Y0000000YkCQAU","NO4","5706567342912795","707057500063367646"
"[Charging_Facility__c]","a239Y0000000YkDQAU","NO3","6970631408879930","707057500065573670"
"[Charging_Facility__c]","a239Y0000000YkEQAU","NO1","7359992930517197","707057500057894516"
"[Charging_Facility__c]","a239Y0000000YkGQAU","NO3","Nei",""
"[Charging_Facility__c]","a239Y0000000YkHQAU","NO3","6970631409028610","707057500069346409"
"[Charging_Facility__c]","a239Y0000000YkIQAU","NO3","6970631404698467","707057500069334543"
"[Charging_Facility__c]","a239Y0000000YkKQAU","NO1","7359992907985622","707057500057385427"
"[Charging_Facility__c]","a239Y0000000YkLQAU","NO3","6970631408168515","707057500069160869"
"[Charging_Facility__c]","a239Y0000000YkMQAU","NO1","7359992909025036","707057500057793710"
"[Charging_Facility__c]","a239Y0000000YkNQAU","NO1","7359992926090420","707057500057709780"
"[Charging_Facility__c]","a239Y0000000YkOQAU","NO3","",""
"[Charging_Facility__c]","a239Y0000000YkPQAU","NO3","6970631408709480","707057500069224172"
"[Charging_Facility__c]","a239Y0000000YkQQAU","NO5","6970631402680099","707057500029784111"
"[Charging_Facility__c]","a239Y0000000YkRQAU","NO1","7359992927625034","707057500057702934"
"[Charging_Facility__c]","a239Y0000000YkSQAU","NO3","6970631401336836","707057500065590929"
"[Charging_Facility__c]","a239Y0000000YkTQAU","NO3","6970631408710950","707057500069247775"
"[Charging_Facility__c]","a239Y0000000YkUQAU","NO1","7359992927754864","707057500057778182"
"[Charging_Facility__c]","a239Y0000000YkVQAU","NO5","6970631403531826","707057500029764106"
"[Charging_Facility__c]","a239Y0000000YkWQAU","NO3","6970631400704872","707057500065573168"
"[Charging_Facility__c]","a239Y0000000YkXQAU","NO5","6970631402004895","707057500029832911"
"[Charging_Facility__c]","a239Y0000000YkYQAU","NO4","6970631408852186","707057500037697854"
"[Charging_Facility__c]","a239Y0000000YkZQAU","NO5","6970631402666420","707057500029798866"
"[Charging_Facility__c]","a239Y0000000YkaQAE","NO3","Nei",""
"[Charging_Facility__c]","a239Y0000000YkbQAE","NO1","7359992909019844","707057500057454437"
"[Charging_Facility__c]","a239Y0000000YkcQAE","NO3","6970631405222128","707057500065487595"
"[Charging_Facility__c]","a239Y0000000YkdQAE","NO1","7359992923759030","707057500057611021"
"[Charging_Facility__c]","a239Y0000000YkeQAE","NO1","7359992909133793","707057500057781618"
"[Charging_Facility__c]","a239Y0000000YkfQAE","NO1","7359992922528736","707057500057524253"
"[Charging_Facility__c]","a239Y0000000YkiQAE","NO3","6970631407414019","707057500069278687"
"[Charging_Facility__c]","a239Y0000000YkjQAE","NO1","7359992908005732","707057500057513233"
"[Charging_Facility__c]","a239Y0000000YkkQAE","NO1","7359992909019424","707057500057562248"
"[Charging_Facility__c]","a239Y0000000YklQAE","NO3","6970631404693165","707057500069404079"
"[Charging_Facility__c]","a239Y0000000YkmQAE","NO5","6970631402004574","707057500029866008"
"[Charging_Facility__c]","a239Y0000000YknQAE","NO2","7359992906789030","707057500072143590"
"[Charging_Facility__c]","a239Y0000000YkoQAE","NO2","7359992906780402","707057500072137490"
"[Charging_Facility__c]","a239Y0000000YkpQAE","NO3","6970631405225204","707057500069175108"
"[Charging_Facility__c]","a239Y0000000YkqQAE","NO5","6970631400762223","707057500029780595"
"[Charging_Facility__c]","a239Y0000000YkrQAE","NO3","6970631408273844","707057500069193911"
"[Charging_Facility__c]","a239Y0000000YkvQAE","NO3","6970631405225006","707057500069352844"
"[Charging_Facility__c]","a239Y0000000YkwQAE","NO4","6970631408169550","707057500037702954"
"[Charging_Facility__c]","a239Y0000000YkxQAE","NO2","7359992905617853","707057500072063652"
"[Charging_Facility__c]","a239Y0000000YkyQAE","NO1","7359992906544059","707057500082363506"
"[Charging_Facility__c]","a239Y0000000YkzQAE","NO1","7359992894570269","707057500057521825"
